Wall time,Step,Value
1743959016.387372,5,0.5409443974494934
1743959065.9323184,19,0.13087621331214905
1743959152.4233,41,0.1255769282579422
1743959181.6238627,48,0.26303616166114807
1743959188.5482712,49,0.40055468678474426
1743959251.3578184,63,0.030307261273264885
1743959255.7269301,64,0.179969921708107
1743959289.7149644,72,0.16271299123764038
1743959319.6452954,78,0.09634119272232056
1743959340.825921,83,0.018002869561314583
1743959372.2440758,90,0.6026695966720581
1743959416.1006699,100,0.22951850295066833
1743959452.1648443,104,0.023801593109965324
1743959468.4925523,108,0.009035756811499596
1743959523.9302433,122,0.06013975292444229
1743959551.884353,129,0.27815940976142883
1743959560.1546574,131,0.2253229171037674
1743959677.4778168,158,0.19025294482707977
1743959690.3534822,161,0.24785521626472473
1743959697.961642,163,0.014094381593167782
1743959706.418496,165,0.36294740438461304
1743959737.812577,173,0.004346810281276703
1743959817.0506108,192,0.29132890701293945
1743959889.1058736,204,0.22503899037837982
1743959897.9557292,206,0.02342326007783413
1743960001.3446608,230,0.004570546559989452
1743960062.5899441,245,0.14112871885299683
1743960066.7574296,246,0.4230225682258606
1743960124.004064,260,0.02389342337846756
1743960174.6099346,272,0.005154650192707777
1743960186.1215944,275,0.1774934083223343
1743960219.0685477,283,0.35174840688705444
1743960232.2650003,286,0.19724775850772858
1743960273.0452852,296,0.2890796363353729
1743960381.7033763,317,0.008502315729856491
1743960394.728616,320,0.4678068161010742
1743960407.7152452,323,0.6740610003471375
1743960498.5194306,347,0.007200251799076796
1743960537.4785323,359,0.005492768716067076
1743960557.0933878,365,0.009156429208815098
1743960564.738923,367,0.13262143731117249
1743960603.5556598,379,0.0059038070030510426
1743960630.914146,387,0.1987011879682541
1743960644.1387303,391,0.3009023666381836
1743960696.7959385,403,0.10150670260190964
1743960702.4378684,405,0.009162943810224533
1743960743.0795975,416,0.006810290273278952
1743960771.5061944,423,0.08740236610174179
1743960830.5268295,437,0.19585920870304108
1743960834.2600248,438,0.3022818863391876
1743960842.304904,440,0.13981403410434723
1743960868.8823748,447,0.0048179300501942635
1743960930.0018697,462,0.058277677744627
1743960947.6326075,466,0.12694570422172546
1743960988.7933278,476,0.07946666330099106
1743961011.8670292,481,0.41859450936317444
1743961015.828904,482,0.03264329582452774
1743961037.97904,488,0.019611621275544167
1743961140.074832,511,0.07848260551691055
1743961147.6152654,513,0.11974027752876282
1743961151.6429803,514,0.22585712373256683
1743961155.7014415,515,0.014081088826060295
1743961167.2659578,518,0.19412817060947418
1743961227.8488514,534,0.23936279118061066
1743961239.712477,537,0.00836260337382555
1743961247.377284,539,0.193662628531456
1743961255.467073,541,0.47323688864707947
1743961301.6432998,553,0.13590095937252045
1743961317.2435668,557,0.2239004522562027
1743961338.271108,563,0.0625976175069809
1743961362.8936791,569,0.016611946746706963
1743961447.6072383,591,0.23358379304409027
1743961463.8613782,595,0.14623413980007172
1743961468.7993603,597,0.008691767230629921
1743961586.7081158,624,0.016278425231575966
1743961604.534851,629,0.05188542231917381
1743961608.6835058,630,0.10960029810667038
1743961635.0995026,638,0.004032161086797714
1743961655.3015318,644,0.009128816425800323
1743961658.8062272,645,0.19466494023799896
1743961715.265176,659,0.01624288782477379
1743961747.95918,668,0.09477647393941879
1743961776.482715,676,0.23846487700939178
1743961845.996385,695,0.3855275809764862
1743961968.4182515,722,0.05528919771313667
1743961982.3649395,726,0.1422835737466812
1743962001.2102313,732,0.11855802685022354
1743962055.0148172,745,0.006279917899519205
1743962132.7805202,765,0.01085594017058611
1743962176.0175877,776,0.009509867988526821
1743962180.2096555,777,0.006691569462418556
1743962204.434811,783,0.009961793199181557
1743962226.2878165,789,0.009415929205715656
1743962299.8216403,805,0.027618341147899628
1743962303.9762433,806,0.35199373960494995
1743962311.7758114,808,0.03459741920232773
1743962364.7806754,820,0.05685066431760788
1743962414.4527314,833,0.005599010735750198
1743962521.1158407,858,0.047991301864385605
1743962558.6187534,867,0.0025656248908489943
1743962578.9328852,872,0.06321122497320175
1743962640.6830537,887,0.048417385667562485
1743962687.2500346,898,0.5326105952262878
1743962720.6363878,902,0.009412185288965702
1743962842.220979,931,0.17798209190368652
1743962893.16439,943,0.03529193624854088
1743962918.902015,950,0.008338113315403461
1743963108.7362013,1000,0.18151099979877472
1743963134.7117138,1003,0.2505767047405243
1743963145.2011201,1005,0.38039809465408325
1743963187.4184804,1016,0.5809969305992126
1743963216.255743,1023,0.0909881740808487
1743963229.9694388,1027,0.4986056089401245
1743963238.6933074,1029,0.11986353248357773
1743963277.0064387,1038,0.43947872519493103
1743963357.8169756,1057,0.017131593078374863
1743963417.0489218,1071,0.3575660288333893
1743963421.0034266,1072,0.019126949831843376
1743963429.173785,1074,0.010224791243672371
1743963445.7542677,1078,0.13666032254695892
1743963484.4978137,1087,0.022471923381090164
1743963533.9744196,1099,0.06348520517349243
1743963567.4290774,1103,0.3654698431491852
1743963576.0922654,1105,0.205068901181221
1743963597.1306262,1110,0.2299792319536209
1743963606.1960528,1112,0.4135517179965973
1743963646.796629,1122,0.572587788105011
1743963664.6766093,1126,0.1288021355867386
1743963695.4102795,1133,0.1411290019750595
1743963703.4623163,1135,0.2446325123310089
1743963750.758694,1147,0.25411203503608704
1743963773.2228022,1152,0.08826043456792831
1743963777.4210904,1153,0.09777302294969559
1743963824.9219413,1165,0.46395227313041687
1743963868.4739077,1175,0.041444700211286545
1743963877.596875,1177,0.0635417029261589
1743963913.1312354,1185,0.04809502139687538
1743963955.2962878,1194,0.4775835871696472
1743963960.0064282,1195,0.015064612030982971
1743964087.226697,1219,0.058908283710479736
1743964118.5304027,1226,0.12455960363149643
1743964209.3774068,1247,0.14425630867481232
1743964232.3237793,1252,0.38868793845176697
1743964237.033508,1253,0.07336975634098053
1743964245.150801,1255,0.42644330859184265
1743964256.6663034,1258,0.012270255945622921
1743964274.5093524,1262,0.2520013451576233
1743964302.6278205,1268,0.5160279273986816
1743964319.8369308,1272,0.017518440261483192
1743964343.1649141,1277,0.2583722472190857
1743964436.6513758,1299,0.1566726565361023
1743964492.0948718,1307,0.08470388501882553
1743964567.6584525,1323,0.3210873305797577
1743964581.5072095,1326,0.14089249074459076
1743964669.810667,1346,0.005866949446499348
1743964738.2917967,1361,0.4411691427230835
1743964754.8730264,1365,0.028069354593753815
1743964805.6296601,1376,0.31734994053840637
1743964810.0517979,1377,0.0923541709780693
1743965014.9099972,1418,0.1062450110912323
1743965107.2930932,1439,0.010894247330725193
1743965109.5755448,1440,0.00585593655705452
1743965191.562659,1458,0.3015587627887726
1743965195.8049831,1459,0.00805096235126257
1743965263.2891276,1475,0.011754386126995087
1743965271.0981822,1477,0.00975571945309639
1743965331.0352376,1491,0.05762018263339996
1743965348.5187511,1495,0.06844419986009598
1743965403.4069736,1503,0.1466461569070816
1743965438.5832715,1511,0.015264702960848808
1743965452.7871575,1514,0.013494705781340599
1743965463.0797348,1517,0.00433453731238842
1743965515.8914113,1529,0.29646384716033936
1743965555.96976,1539,0.36329588294029236
1743965601.6799421,1549,0.04443768411874771
1743965613.4767141,1552,0.07045949250459671
1743965673.8350976,1566,0.009558361954987049
1743965685.8314054,1569,0.006029985845088959
1743965709.0657225,1574,0.3397011458873749
1743965722.0650284,1577,0.05549382418394089
1743965760.57425,1586,0.13380980491638184
1743965805.4990828,1597,0.001333313062787056
1743965845.1605105,1602,0.4897870719432831
1743965854.1356761,1604,0.11092681437730789
1743965954.7336657,1628,0.0857272520661354
1743965987.7276905,1636,0.22589068114757538
1743965996.9693518,1638,0.0561349056661129
1743966143.6634376,1671,0.058630917221307755
1743966180.53955,1680,0.10765139758586884
1743966206.9621496,1686,0.005257070064544678
1743966248.3556306,1695,0.3656317889690399
1743966304.9209394,1703,0.02057722583413124
1743966314.34951,1705,0.19595597684383392
1743966328.4116201,1708,0.1019301488995552
1743966348.2627246,1712,0.5267175436019897
1743966380.8861842,1719,0.1883867383003235
1743966502.626663,1746,0.37863627076148987
1743966643.4322476,1776,0.014978365041315556
1743966651.7425253,1778,0.005413657054305077
1743966704.8352277,1790,0.13340973854064941
1743966719.727955,1793,0.010304469615221024
1743966772.130843,1801,0.29742714762687683
1743966972.8508918,1848,0.011928774416446686
1743966990.2480166,1852,0.014285998418927193
1743967028.5417664,1861,0.006021351553499699
1743967048.6544511,1866,0.15535657107830048
1743967057.4552872,1868,0.26784899830818176
1743967149.7926216,1889,0.033225495368242264
1743967196.688192,1900,0.01582162082195282
1743967230.047067,1903,0.01934031955897808
1743967258.740628,1909,0.007992332801222801
1743967263.2923815,1910,0.017021141946315765
1743967330.9761245,1925,0.060958974063396454
1743967335.6822126,1926,0.05883728712797165
1743967386.9564466,1937,0.5095467567443848
1743967404.3041196,1941,0.20159290730953217
1743967430.5858166,1946,0.30662450194358826
1743967440.372191,1948,0.16710509359836578
1743967493.5769017,1961,0.010631299577653408
1743967498.4141424,1962,0.19438892602920532
1743967521.3250434,1967,0.39158883690834045
1743967572.4531353,1978,0.20958101749420166
1743967582.678897,1980,0.08909251540899277
1743967618.77797,1988,0.18446922302246094
1743967939.4686913,2071,0.4387204945087433
1743967968.1225507,2080,0.007564093917608261
1743968004.2134156,2090,0.004104723688215017
1743968061.7966201,2101,0.02942682057619095
1743968092.768049,2110,0.009570453315973282
1743968111.9979773,2115,0.3423074185848236
1743968115.8006847,2116,0.009038970805704594
1743968130.4176438,2120,0.506129264831543
1743968134.1225452,2121,0.04338706284761429
1743968158.9451072,2128,0.2470846176147461
1743968199.3765543,2140,0.006461986806243658
1743968303.4823544,2170,0.5530806183815002
1743968394.292199,2195,0.009082168340682983
1743968457.5024152,2210,0.009705114178359509
1743968478.0634186,2216,0.07314670830965042
1743968572.749901,2240,0.3300762176513672
1743968596.7711163,2245,0.41733241081237793
1743968736.2669337,2282,0.007400700356811285
