Wall time,Step,Value
1743963826.951998,5,0.4159417748451233
1743963878.4120748,19,0.5349393486976624
1743963967.346132,41,0.37879717350006104
1743963995.5886824,48,0.4402545094490051
1743963999.5369062,49,0.44275549054145813
1743964055.3616052,63,0.2436417192220688
1743964059.4067512,64,0.3987092673778534
1743964091.4435904,72,0.21069040894508362
1743964115.1322124,78,0.10523839294910431
1743964134.9468613,83,0.33972105383872986
1743964163.0543385,90,0.3292158842086792
1743964202.7672462,100,0.06468558311462402
1743964238.276423,104,0.16525158286094666
1743964254.1864724,108,0.12673145532608032
1743964310.6418157,122,0.1599183976650238
1743964339.1475947,129,0.4375258982181549
1743964347.5326247,131,0.12301631271839142
1743964403.480885,145,0.12629130482673645
1743964415.8217728,148,0.5855256915092468
1743964455.7847364,158,0.26162052154541016
1743964467.6414971,161,0.24324609339237213
1743964475.7778502,163,0.2568473517894745
1743964483.7672653,165,0.1567915827035904
1743964512.953636,173,0.37656787037849426
1743964589.3506556,192,0.046655453741550446
1743964657.378081,204,0.22846655547618866
1743964665.4760058,206,0.05073525011539459
1743964697.7922711,214,0.3834652304649353
1743964762.6956997,230,0.4863302707672119
1743964823.483153,245,0.325554221868515
1743964827.668872,246,0.11629693955183029
1743964880.1480877,259,0.15321220457553864
1743964884.1439683,260,0.30579495429992676
1743964933.3415859,272,0.39915236830711365
1743964945.5414171,275,0.19292762875556946
1743964978.1844466,283,0.41101887822151184
1743964990.3586597,286,0.1611582487821579
1743965031.0621514,296,0.013791687786579132
1743965136.1997774,317,0.12126843631267548
1743965148.171505,320,0.3168668746948242
1743965160.646426,323,0.16563744843006134
1743965259.2620053,347,0.1397467404603958
1743965309.204693,359,0.5101308822631836
1743965333.4639566,365,0.0898950845003128
1743965341.6299465,367,0.405983030796051
1743965391.4881573,379,0.17285847663879395
1743965424.473462,387,0.2963484227657318
1743965440.847625,391,0.22811980545520782
1743965448.9750175,393,0.27189189195632935
1743965509.7788646,403,0.2659991979598999
1743965517.9270804,405,0.04173139110207558
1743965563.0161679,416,0.22924108803272247
1743965592.2308555,423,0.1256527453660965
1743965648.9139187,437,0.39227578043937683
1743965652.8941438,438,0.38990187644958496
1743965661.0764809,440,0.29319605231285095
1743965689.2760005,447,0.4214787483215332
1743965751.0902061,462,0.1595732718706131
1743965767.5265274,466,0.11041488498449326
1743965804.401295,475,0.3638863265514374
1743965808.3990295,476,0.13732069730758667
1743965828.6458726,481,0.0829620510339737
1743965832.666608,482,0.22844497859477997
1743965857.3999565,488,0.19922205805778503
1743965972.0181355,511,0.2663814127445221
1743965980.2849486,513,0.17092977464199066
1743965984.462918,514,0.15572945773601532
1743965988.5331056,515,0.043011341243982315
1743966000.8343735,518,0.2534383237361908
1743966066.5678577,534,0.032260213047266006
1743966071.0330656,535,0.4753163754940033
1743966079.2295148,537,0.22232912480831146
1743966087.4846356,539,0.2788335382938385
1743966095.7277057,541,0.19194644689559937
1743966120.613067,547,0.25256800651550293
1743966146.2303765,553,0.17644855380058289
1743966162.5626285,557,0.2572462558746338
1743966187.3648956,563,0.2428436279296875
1743966195.3800523,565,0.19787420332431793
1743966212.0035589,569,0.35942256450653076
1743966303.2620313,591,0.018509486690163612
1743966319.8365953,595,0.023145338520407677
1743966328.1167488,597,0.2698822617530823
1743966459.3543603,624,0.0826270580291748
1743966480.1071634,629,0.05331249162554741
1743966484.2116454,630,0.39979103207588196
1743966517.0958223,638,0.01503437664359808
1743966541.9606485,644,0.5591803789138794
1743966545.9968204,645,0.21765127778053284
1743966604.6392355,659,0.1557033360004425
1743966644.4590063,668,0.4184495508670807
1743966677.6003172,676,0.05089443922042847
1743966747.8507166,693,0.10347960889339447
1743966756.0881016,695,0.10153833776712418
1743966884.8686564,722,0.00903779175132513
1743966901.7882228,726,0.016126306727528572
1743966925.7599206,732,0.3472151458263397
1743966976.2318723,745,0.3106590807437897
1743967057.2903585,765,0.20609693229198456
1743967103.0144372,776,0.24718445539474487
1743967107.1071546,777,0.16187725961208344
1743967132.6340344,783,0.15884646773338318
1743967157.4858506,789,0.43570876121520996
1743967250.0187087,805,0.34077188372612
1743967254.2205443,806,0.011602042242884636
1743967265.7608955,808,0.1887284517288208
1743967317.1371164,820,0.09044134616851807
1743967374.2502973,833,0.0761859193444252
1743967475.2550778,858,0.009103579446673393
1743967513.5866845,867,0.1842559576034546
1743967534.5087543,872,0.2425624579191208
1743967594.9677594,887,0.448119580745697
1743967640.5155632,898,0.06307093054056168
1743967677.4363394,902,0.30799540877342224
1743967797.0966,931,0.12915730476379395
1743967848.405387,943,0.24026255309581757
1743967876.5229082,950,0.2710033655166626
1743967933.023621,964,0.03150156885385513
1743968080.5591443,1000,0.23441164195537567
1743968111.3915431,1003,0.008917619474232197
1743968120.3180017,1005,0.05383072420954704
1743968167.0896902,1016,0.2237180769443512
1743968196.04992,1023,0.35412248969078064
1743968212.3233423,1027,0.5574268102645874
1743968220.5067446,1029,0.5641113519668579
1743968257.9473433,1038,0.1645490527153015
1743968338.0477517,1057,0.46805086731910706
1743968395.6759834,1071,0.35607266426086426
1743968399.8676388,1072,0.2438286691904068
1743968408.030776,1074,0.06146771088242531
1743968424.579221,1078,0.4706057906150818
1743968462.3257623,1087,0.1779707819223404
1743968511.8082204,1099,0.17768342792987823
1743968547.6851735,1103,0.23945064842700958
1743968555.8928916,1105,0.17559105157852173
1743968568.172412,1108,0.07530579715967178
1743968576.4653206,1110,0.24659152328968048
1743968584.7539155,1112,0.28146761655807495
1743968624.2300653,1122,0.3163014352321625
1743968642.5803266,1126,0.3884311616420746
1743968671.20094,1133,0.008174741640686989
1743968677.9482133,1135,0.35198360681533813
1743968728.099012,1147,0.12677663564682007
1743968749.8719811,1152,0.33987098932266235
1743968754.085837,1153,0.015291314572095871
1743968804.6097646,1165,0.08711367100477219
1743968848.049773,1175,0.14043673872947693
1743968856.168919,1177,0.06440586596727371
1743968887.152092,1185,0.13875240087509155
1743968924.2846656,1194,0.40702295303344727
1743968929.0932276,1195,0.2116847187280655
1743969029.445047,1215,0.20579667389392853
1743969046.4694765,1219,0.46832022070884705
1743969074.9056892,1226,0.12274648249149323
1743969162.8160524,1247,0.19233785569667816
1743969181.9444318,1252,0.348232626914978
1743969186.0526226,1253,0.07441772520542145
1743969191.095523,1255,0.1149146780371666
1743969203.6796703,1258,0.14784841239452362
1743969220.216904,1262,0.1532735526561737
1743969244.9177349,1268,0.40084829926490784
1743969261.6131728,1272,0.13072791695594788
1743969282.0892155,1277,0.06467688083648682
1743969305.8427238,1283,0.2592243552207947
1743969374.769822,1299,0.4712678790092468
1743969426.3459039,1307,0.12184801697731018
1743969464.3854694,1316,0.3089819848537445
1743969492.7485816,1323,0.18105179071426392
1743969505.0289283,1326,0.16831766068935394
1743969588.126711,1346,0.041020285338163376
1743969649.1317637,1361,0.4461391866207123
1743969663.616432,1365,0.007148754317313433
1743969708.925159,1376,0.03427181392908096
1743969712.7783318,1377,0.007202138192951679
1743969728.0583713,1381,0.0021756275091320276
1743969902.3145354,1418,0.04857518523931503
1743969989.390034,1439,0.2005780190229416
1743969992.0481377,1440,0.008055123500525951
1743970066.519156,1458,0.38948702812194824
1743970070.6685734,1459,0.25957271456718445
1743970083.1317906,1462,0.21230345964431763
1743970137.6483257,1475,0.11249694228172302
1743970145.9359856,1477,0.07270030677318573
1743970192.303909,1488,0.06966325640678406
1743970205.2701027,1491,0.04005436599254608
1743970222.1039798,1495,0.08087184280157089
1743970278.2793505,1503,0.014649296179413795
1743970308.3079493,1510,0.310865193605423
1743970312.5263917,1511,0.08145551383495331
1743970325.2865164,1514,0.16953657567501068
1743970336.8027642,1517,0.07245121896266937
1743970385.8430932,1529,0.18766433000564575
1743970428.6546068,1539,0.24354302883148193
1743970470.6578708,1549,0.009868481196463108
1743970482.958759,1552,0.15840110182762146
1743970540.7940295,1566,0.18452022969722748
1743970553.1796687,1569,0.02052098512649536
1743970574.0170176,1574,0.09980392456054688
1743970586.4369519,1577,0.27584218978881836
1743970625.3655488,1586,0.2236458957195282
1743970670.39146,1597,0.07036127150058746
1743970710.9115386,1602,0.22152955830097198
1743970718.9360683,1604,0.19209414720535278
1743970818.457028,1628,0.25530290603637695
1743970851.4002833,1636,0.10262756049633026
1743970860.269186,1638,0.14982591569423676
1743970901.8864334,1648,0.1137913316488266
1743970930.3184912,1655,0.427203506231308
1743970994.9409835,1671,0.3136439323425293
1743971032.564879,1680,0.006200538016855717
1743971057.6186526,1686,0.12640492618083954
1743971095.2946744,1695,0.18794025480747223
1743971146.8812468,1703,0.19638259708881378
1743971155.0807981,1705,0.07855431735515594
1743971167.6281621,1708,0.10599319636821747
1743971184.122326,1712,0.049170661717653275
1743971212.5589848,1719,0.061581242829561234
1743971233.2860906,1724,0.13976003229618073
1743971261.9890082,1731,0.16367819905281067
1743971325.3642414,1746,0.3176842927932739
1743971362.229515,1755,0.582495927810669
1743971447.5098271,1776,0.34430748224258423
1743971455.8286889,1778,0.18263797461986542
1743971502.7036493,1790,0.04645329341292381
1743971513.14982,1793,0.009915412403643131
1743971565.2553504,1801,0.02516654133796692
1743971643.6863358,1820,0.017246633768081665
1743971757.7548594,1848,0.17940431833267212
1743971774.8887765,1852,0.17217834293842316
1743971813.5343597,1861,0.3140595555305481
1743971834.0924575,1866,0.23568636178970337
1743971842.7991996,1868,0.12973056733608246
1743971929.7079136,1889,0.03374040871858597
1743971975.8736038,1900,0.23210878670215607
1743972008.0590422,1903,0.3518051207065582
1743972032.6317635,1909,0.14547915756702423
1743972036.9055247,1910,0.10524261742830276
1743972099.5378332,1925,0.08593972027301788
1743972103.382565,1926,0.00400586798787117
1743972148.622682,1937,0.012516723945736885
1743972164.6961353,1941,0.055780839174985886
1743972186.022124,1946,0.0460452102124691
1743972194.4743662,1948,0.1935853362083435
1743972248.7465699,1961,0.26901090145111084
1743972252.8999708,1962,0.11864513158798218
1743972266.12253,1965,0.305807501077652
1743972272.0760033,1967,0.01178875844925642
1743972316.9571762,1978,0.1949981451034546
1743972325.319607,1980,0.035475388169288635
1743972356.2198262,1988,0.06824994087219238
1743972360.3761218,1989,0.5683215856552124
1743972711.1555958,2071,0.024727825075387955
1743972746.1917183,2080,0.2969604730606079
1743972786.9641094,2090,0.3715282082557678
1743972848.329265,2101,0.009650655090808868
1743972884.9915023,2110,0.15849323570728302
1743972905.701511,2115,0.01023556012660265
1743972909.9678574,2116,0.1964562088251114
1743972926.0679934,2120,0.018805114552378654
1743972928.927408,2121,0.008030676282942295
1743972955.8819785,2128,0.09690167754888535
1743973005.865818,2140,0.009836692363023758
1743973129.7859256,2170,0.11258231848478317
1743973204.5328763,2188,0.07559501379728317
1743973233.119223,2195,0.4374411404132843
1743973316.156291,2210,0.17475248873233795
1743973337.748085,2216,0.008912128396332264
1743973377.9995828,2226,0.017303165048360825
1743973420.63366,2237,0.26110517978668213
1743973435.7688608,2240,0.010340278968214989
1743973456.224871,2245,0.027687925845384598
1743973511.174343,2258,0.016445472836494446
1743973609.1563876,2282,0.09575556218624115
1743973724.883219,2306,0.025752250105142593
1743973769.3982697,2317,0.176339253783226
1743973780.3194041,2320,0.031855251640081406
1743973832.3421493,2333,0.011881409212946892
1743973870.5159435,2343,0.28958529233932495
1743973935.1748545,2360,0.0096544548869133
1743974058.0675476,2390,0.013195599429309368
1743974073.035091,2394,0.07308762520551682
1743974077.4208589,2395,0.10728520154953003
1743974094.6660867,2399,0.2840327322483063
1743974266.640647,2437,0.16530542075634003
1743974287.1903124,2442,0.010063648223876953
1743974343.4368424,2455,0.25301802158355713
1743974376.5667038,2463,0.12830111384391785
1743974389.2639964,2466,0.4593803286552429
1743974472.757135,2486,0.31462374329566956
1743974503.8736017,2494,0.11053649336099625
1743974524.872199,2499,0.07829044759273529
1743974565.8689756,2504,0.004897175822407007
1743974626.51272,2518,0.045671217143535614
1743974634.7678103,2520,0.1115935817360878
1743974672.258105,2529,0.011189601384103298
1743974680.7140963,2531,0.3361038863658905
1743974714.3302894,2539,0.016447333618998528
1743974828.1676085,2567,0.03671425208449364
1743974871.8729866,2578,0.06272055208683014
1743974876.1384468,2579,0.11921707540750504
1743974917.0980065,2589,0.007672439329326153
1743974932.723126,2593,0.06024938076734543
1743974962.6212437,2600,0.19216597080230713
1743975014.5062175,2607,0.10791563242673874
1743975064.9053774,2620,0.07746206969022751
1743975099.6958306,2628,0.010919621214270592
1743975103.7207253,2629,0.16995996236801147
1743975132.34872,2636,0.19632869958877563
1743975149.107888,2640,0.021933380514383316
1743975153.487435,2641,0.01788194477558136
1743975165.849181,2644,0.01796438917517662
1743975242.8519876,2663,0.5371963381767273
1743975276.2018304,2671,0.16481775045394897
1743975280.9032845,2672,0.06609150022268295
1743975293.683101,2675,0.18903551995754242
1743975322.913419,2682,0.48165521025657654
1743975335.3736055,2685,0.2898372709751129
1743975343.68958,2687,0.032905057072639465
1743975357.0150874,2690,0.008128542453050613
1743975373.9146018,2694,0.5584274530410767
1743975426.4987395,2703,0.0033812914043664932
1743975450.634777,2709,0.007145137991756201
1743975470.7327502,2714,0.062128402292728424
1743975486.307493,2718,0.07389834523200989
1743975532.7004352,2730,0.20127910375595093
1743975536.2575548,2731,0.008345124311745167
1743975551.176387,2735,0.293489009141922
1743975572.3206282,2740,0.013749992474913597
1743975576.6010323,2741,0.17179928719997406
1743975580.6759205,2742,0.013307989574968815
1743975630.2369514,2754,0.1704936921596527
1743975634.4892817,2755,0.32917532324790955
1743975638.746212,2756,0.010696309618651867
1743975659.7426937,2761,0.013393264263868332
1743975680.9715533,2766,0.01268752571195364
1743975692.9336333,2769,0.20321635901927948
1743975713.4165184,2774,0.31921225786209106
1743975732.1045663,2779,0.410005122423172
1743975761.1649725,2786,0.020232155919075012
1743975892.19961,2813,0.2933625876903534
1743975981.9562998,2835,0.05896328017115593
1743976021.524785,2845,0.13186319172382355
1743976093.661394,2862,0.010302768088877201
1743976097.7588396,2863,0.008677611127495766
1743976176.4836962,2882,0.016129445284605026
1743976219.697422,2892,0.06262411177158356
1743976228.222325,2894,0.25390899181365967
1743976346.096755,2919,0.22749550640583038
1743976358.7030947,2922,0.08280567079782486
1743976413.3993125,2935,0.2625046372413635
1743976486.125394,2953,0.20091766119003296
1743976499.0399191,2956,0.23517630994319916
